mode,rows,partitions,seconds,core_hours,estimated_cost,rows_per_second
strong,300000,2,4.343234915999346,0.0024129082866663036,0.0001447744971999782,69072.93890433559
strong,300000,4,2.615965667006094,0.00290662851889566,0.00017439771113373959,114680.4041749303
strong,300000,8,2.4394391660025576,0.005420975924450128,0.00032525855546700766,122979.08641501472
weak,200000,2,1.9455280419933842,0.0010808489122185467,6.48509347331128e-05,102799.85468370859
weak,400000,4,2.5371290409966605,0.002819032267774067,0.00016914193606644401,157658.5161954821
weak,800000,8,2.5355252089939313,0.005634500464430959,0.0003380700278658575,315516.4843805403
