model,val_roc_auc,test_roc_auc,test_pr_auc,auc_ci_low,auc_ci_high,train_seconds,expected_cost_avoided_index
logistic_regression,0.8897525717379532,0.8104963019245582,0.007464042194368111,0.7120512828982232,0.891431462086099,32.94971083300334,0.8798469128209035
random_forest,0.8270828370330267,0.8847226558195906,0.0063972649381516125,0.8308522252079248,0.9366482380332058,29.521402041995316,0.8201951157195968
gbt,0.8706857065511641,0.8969993595511807,0.009446959892517053,0.8375670759472564,0.9419087232520604,106.23580141599814,22.04596197943911
