column,mean,stddev,min,median,max
OBJECTID,7552.0,4360.004892963615,1.0,7551.0,15103.0
non_empty_fields,2.287624975170496,0.573238730857036,1.0,2.0,4.0
completeness_ratio,0.571906243792624,0.143309682714259,0.25,0.5,1.0
name_length,4.181089849698735,3.8817588622588004,1.0,1.0,22.0
ingest_year,2026.0,0.0,2026.0,2026.0,2026.0
ingest_month,2.0,0.0,2.0,2.0,2.0
min_ratio,0.20961729457721665,0.28609518712494436,0.0,0.0,0.85
