split,label,count,ratio
train,0,8905,0.8423193340900492
train,1,1667,0.1576806659099508
validation,0,1908,0.8423841059602649
validation,1,357,0.1576158940397351
test,0,1908,0.8420123565754634
test,1,358,0.15798764342453664
