mode,rows,partitions,seconds,rows_per_second,core_hours,estimated_cost
strong,100000,2,1.5120475000003353,66135.48846843623,0.0008400263888890751,5.0401583333344506e-05
strong,100000,4,0.2713661250018049,368505.8332145727,0.00030151791666867213,1.8091075000120328e-05
strong,100000,8,0.21695599998929538,460922.9521420657,0.00048212444442065637,2.8927466665239383e-05
weak,60000,2,0.1594849169923691,376211.1247352051,8.860273166242728e-05,5.316163899745636e-06
weak,120000,4,0.15470483399985824,775670.6555149399,0.00017189425999984247,1.0313655599990548e-05
weak,240000,8,0.15721979200316127,1526525.3626284802,0.0003493773155625806,2.0962638933754835e-05
