model,feature_index,importance
random_forest,0,0.10698173486665725
random_forest,1,0.05423511681238093
random_forest,2,0.059826931614539745
random_forest,3,0.0025341048479448573
random_forest,4,0.00046629976666270293
random_forest,5,0.003921215086716607
random_forest,6,0.005637614761391197
random_forest,7,0.00042672980040917567
random_forest,8,0.0
random_forest,9,0.0
random_forest,10,0.0
random_forest,11,0.10661178235638251
random_forest,12,0.14475290605780658
random_forest,13,0.0016935627865439851
random_forest,14,0.0007361959351568458
random_forest,15,0.0002335840405307303
random_forest,16,0.0002137452215576353
random_forest,17,0.00024194562331154474
random_forest,18,0.0005308923864802517
random_forest,19,8.961777358778786e-05
random_forest,20,0.0
random_forest,21,0.000190867120183471
random_forest,22,0.0003484419934712511
random_forest,23,0.00030869610664366386
random_forest,24,0.00025011224058175177
random_forest,25,0.0002584218123403982
random_forest,26,0.005631796107532322
random_forest,27,0.00024018913174963654
random_forest,28,0.0
random_forest,29,0.0002100486002777556
random_forest,30,0.0012925092832294213
random_forest,31,1.590613067473789e-05
random_forest,32,0.00011427108313300987
random_forest,33,7.774222754937152e-06
random_forest,34,7.839186068784953e-05
random_forest,35,0.0
random_forest,36,1.722245575570658e-05
random_forest,37,5.500973801989157e-06
random_forest,38,1.1382734694143556e-05
random_forest,39,1.856659276728314e-05
random_forest,40,0.0010975306318494187
random_forest,41,1.9968771695795135e-05
random_forest,42,0.0
random_forest,43,0.0
random_forest,44,5.019986722195351e-05
random_forest,45,0.0004095205894847259
random_forest,46,0.0
random_forest,47,0.0
random_forest,48,7.748926941036197e-07
random_forest,49,8.523504635356739e-06
random_forest,50,1.772944930943906e-05
random_forest,51,0.0
random_forest,52,1.6026448376524147e-05
random_forest,53,7.263665317107028e-05
random_forest,54,0.0
random_forest,55,0.0
random_forest,56,0.0
random_forest,57,0.0
random_forest,58,0.0
random_forest,59,0.0
gbt,0,1.48945144287311e-16
gbt,1,1.7158881167841258e-14
gbt,2,2.468371429175322e-15
gbt,3,7.018156616318489e-16
gbt,4,1.5156402616948477e-16
gbt,5,1.9280389029107203e-17
gbt,6,8.443048481758582e-17
gbt,7,6.757919339632327e-18
gbt,8,3.198060215666994e-16
gbt,9,8.658125567367583e-16
gbt,10,0.0
gbt,11,2.981311052994194e-16
gbt,12,2.341942648656586e-17
gbt,13,0.0
gbt,14,0.0
gbt,15,1.9190082757308141e-19
gbt,16,1.0479290290020233e-18
gbt,17,3.631064678588228e-19
gbt,18,0.0
gbt,19,2.291521646902097e-17
gbt,20,2.756222670534695e-19
gbt,21,1.354594076986416e-18
gbt,22,3.0337263182492945e-20
gbt,23,5.924702878736431e-18
gbt,24,4.8163344959518565e-17
gbt,25,0.0
gbt,26,0.0
gbt,27,2.1249606651267897e-18
gbt,28,6.196797557047914e-19
gbt,29,3.6310646785886984e-19
gbt,30,0.0
gbt,31,0.0
gbt,32,0.0
gbt,33,1.0479290290020231e-18
gbt,34,9.933689897900687e-19
gbt,35,0.0
gbt,36,6.196797557046928e-19
gbt,37,3.084523596138108e-18
gbt,38,0.0
gbt,39,0.0
gbt,40,1.758579748293917e-14
gbt,41,0.0
gbt,42,1.7878995608141577e-16
gbt,43,2.7417407428854946e-16
gbt,44,1.4035746466712403e-16
gbt,45,6.839204391154937e-16
gbt,46,0.0
gbt,47,0.0
gbt,48,3.827433785235169e-19
gbt,49,0.0
gbt,50,0.0
gbt,51,0.0
gbt,52,0.0
gbt,53,0.0
gbt,54,2.73567799370065e-16
gbt,55,0.0
gbt,56,0.0
gbt,57,0.0
gbt,58,2.763277848019293e-18
gbt,59,0.0
